,Ano,TituloLivro,GeneroLivro,NomeAutor,GeneroAutor,FaixaEtariaAutor,PaisAutor,NomeEditora,SedeEditora,PaisEdicao,Vencedor,Finalista,Semifinalista
5516,2022,Adelita,Romance,Jose Miguel Braga Figueira De Sousa,Masculino,de 60 a 70 anos,Portugal,Húmus,Portugal,Portugal,Não,Não,Não
5517,2022,Adeus às fábulas,Romance,Liliana Lagana,Feminino,de 80 a 90 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5518,2022,"Adeus, Fogaça",Romance,Amilton Alves,Masculino,de 50 a 60 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5519,2022,Adorno na praça Paris & outros encontros,Conto,Arthur Dutra,Masculino,de 40 a 50 anos,Brasil,Kotter,Brasil,Brasil,Não,Não,Não
5520,2022,Adriano Chupim,Romance,Paulo Damin,Masculino,de 30 a 40 anos,Brasil,Matins,Brasil,Brasil,Não,Não,Não
5521,2022,Adryan e Letycia,Romance,Adhemyr Fortunatto,Masculino,de 60 a 70 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
5522,2022,Afasia perante a algaravia da era,Poesia,Anderson Lucarezi,Masculino,de 30 a 40 anos,Brasil,Primata,Brasil,Brasil,Não,Não,Não
5523,2022,Afastar-se (Treze Contos Sobre Água),Conto,Luisa Costa Gomes,Feminino,de 60 a 70 anos,Portugal,Dom Quixote,Portugal,Portugal,Não,Não,Sim
5524,2022,Afinal,Poesia,Jose Do Carmo Francisco,Masculino,de 70 a 80 anos,Portugal,On y va,Portugal,Portugal,Não,Não,Não
5525,2022,Afrodite - Poemas,Poesia,Marcio Martelli,Masculino,de 50 a 60 anos,Brasil,In House,Brasil,Brasil,Não,Não,Não
5526,2022,Agá,Conto,Yan Rego,Masculino,de 20 a 30 anos,Brasil,Biblioteca Pública do Paraná,Brasil,Brasil,Não,Não,Não
5527,2022,Ágata e o feitiço do mago Zaron ,Romance,Carlos Alexandre Bezerra De Lima,Masculino,de 30 a 40 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5528,2022,Agenda Negra,Romance,Andre Alves,Masculino,de 30 a 40 anos,Brasil,Flyve,Brasil,Brasil,Não,Não,Não
5529,2022,Agora posso acreditar em unicórnios ,Conto,Andre Balbo,Masculino,de 30 a 40 anos,Brasil,Reformatório,Brasil,Brasil,Não,Não,Não
5530,2022,Agouro,Poesia,Maira Dal'Maz,Feminino,de 30 a 40 anos,Brasil,Escaleras,Brasil,Brasil,Não,Não,Não
5531,2022,Águas na Boca,Poesia,Malu Novo,Feminino,de 60 a 70 anos,Brasil,VillarLuna,Brasil,Brasil,Não,Não,Não
5532,2022,Águas Passadas,Romance,Joao Tordo,Masculino,de 40 a 50 anos,Portugal,Companhia das Letras,Portugal,Portugal,Não,Não,Não
5533,2022,Ainda não sei o nome,Poesia,Gabriela Araujo,Feminino,de 20 a 30 anos,Brasil,Caligari,Brasil,Brasil,Não,Não,Não
5534,2022,ainda não sei tudo que já aprendi até agora,Poesia,Lara Fuke,Feminino,de 20 a 30 anos,Brasil,Garoupa,Brasil,Brasil,Não,Não,Não
5535,2022,Ainda Solama,Romance,Bruno A. Oliveira,Masculino,de 30 a 40 anos,Brasil,Patuá,Brasil,Brasil,Não,Não,Não
5536,2022,Alagoas Azul ,Romance,Bruno Coelho,Masculino,de 20 a 30 anos,Brasil,Reformatório,Brasil,Brasil,Não,Não,Não
